startup_name,startup_name_clean,industry,sector,city,investors,stage,stage_clean,amount_usd,date,year,quarter,month,funding_era,source,city_clean
BYJU’S,byjus,E-Tech,Technology,Bengaluru,Tiger Global Management,Private Equity Round,PE/Debt,200000000.0,2020-01-09 00:00:00,2020,1.0,1.0,2020-2021 ZIRP Mania,dataset_1,Bengaluru
Shuttl,shuttl,Transportation,Mobility,Gurgaon,Susquehanna Growth Equity,Series C,Series C,8048394.0,2020-01-13 00:00:00,2020,1.0,1.0,2020-2021 ZIRP Mania,dataset_1,Gurgaon
Mamaearth,mamaearth,E-commerce,E-commerce,Bengaluru,Sequoia Capital India,Series B,Series B,18358860.0,2020-01-09 00:00:00,2020,1.0,1.0,2020-2021 ZIRP Mania,dataset_1,Bengaluru
https://www.wealthbucket.in/,wealthbucket,FinTech,Fintech,New Delhi,Vinod Khatumal,Pre-series A,Pre-Series A,3000000.0,2020-01-02 00:00:00,2020,1.0,1.0,2020-2021 ZIRP Mania,dataset_1,Delhi
Fashor,fashor,Fashion and Apparel,E-commerce,Mumbai,Sprout Venture Partners,Seed Round,Seed,1800000.0,2020-01-02 00:00:00,2020,1.0,1.0,2020-2021 ZIRP Mania,dataset_1,Mumbai
Pando,pando,Logistics,Logistics,Chennai,Chiratae Ventures,Series A,Series A,9000000.0,2020-01-13 00:00:00,2020,1.0,1.0,2020-2021 ZIRP Mania,dataset_1,Chennai
Zomato,zomato,Hospitality,Healthtech,Gurgaon,Ant Financial,Private Equity Round,PE/Debt,150000000.0,2020-01-10 00:00:00,2020,1.0,1.0,2020-2021 ZIRP Mania,dataset_1,Gurgaon
Ecozen,ecozen,Technology,Technology,Pune,Sathguru Catalyzer Advisors,Series A,Series A,6000000.0,2019-12-12 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Pune
CarDekho,cardekho,E-Commerce,E-commerce,Gurgaon,Ping An Global Voyager Fund,Series D,Late Stage,70000000.0,2019-12-06 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Gurgaon
Dhruva Space,dhruva space,Aerospace,Other,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,Seed,50000000.0,2019-12-03 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Bengaluru
Rivigo,rivigo,Technology,Technology,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,Late Stage,20000000.0,2019-12-13 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Gurgaon
Healthians,healthians,B2B-focused foodtech startup,Foodtech,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,Series C,12000000.0,2019-12-17 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Bengaluru
Licious,licious,E-Commerce,E-commerce,Bengaluru,Vertex Growth Fund,Series E,Late Stage,30000000.0,2019-12-16 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Bengaluru
InCred,incred,Finance,Other,Mumbai,,Debt Funding,PE/Debt,5900000.0,2019-12-16 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Mumbai
Trell,trell,Video,Media/Content,Bengaluru,Ruizheng Investment,Seed Round,Seed,2000000.0,2019-12-14 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Bengaluru
Rein Games,rein games,Gaming,Media/Content,Noida,Manipal Education and Medical Group (MEMG),Seed Round,Seed,50000000.0,2019-12-11 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Noida
Lenskart.com,lenskartcom,E-Commerce,E-commerce,Faridabad,SoftBank Vision Fund,Series G,Late Stage,231000000.0,2019-12-20 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Faridabad
Freshworks,freshworks,Software,SaaS/B2B,San Francisco,"Sequoia, CapitalG, Accel",Series H,Late Stage,150000000.0,2019-11-13 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,San Francisco
Misters,misters,Health and wellness,Healthtech,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,Series B,486000.0,2019-11-14 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Gurgaon
Sunstone Eduversity Pvt. Ltd,sunstone eduversity,Education,Edtech,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,Seed,1500000.0,2019-11-13 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Gurgaon
Burger Singh,burger singh,Food and Beverage,Foodtech,Gurgaon,RB Investments,Venture,Series A,,2019-11-17 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Gurgaon
Healthians,healthians,Health and Wellness,Healthtech,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,Series B,12000000.0,2019-11-18 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Gurgaon
Ninjacart,ninjacart,B2B Marketing,SaaS/B2B,Bengaluru,Trifecta Capital Advisors,Debt Funding,PE/Debt,26000000.0,2019-11-15 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Bengaluru
Aye Finance,aye finance,FinTech,Fintech,Gurgaon,FinTech,Debt Funding,PE/Debt,17411265.0,2019-11-20 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Gurgaon
SuperGaming,supergaming,Video Games,Media/Content,Pune,Dream Incubator,Seed Funding,Seed,1300000.0,2019-11-12 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Pune
Clumio,clumio,SaaS,SaaS/B2B,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,Series C,135000000.0,2019-11-20 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,"San Jose,"
eBikeGo,ebikego,Last Mile Transportation,Mobility,Amritsar,Startup Buddy,Seed,Seed,300000.0,2019-11-11 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Amritsar
Digital Mall Asia,digital mall asia,E-Commerce,E-commerce,Delhi,Amour Infrastructure,Seed Funding,Seed,220000000.0,2019-11-19 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Delhi
Medikabazaar,medikabazaar,Healthcare,Healthtech,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,Series B,15800000.0,2019-11-18 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Mumbai
Vogo Automotive,vogo automotive,Last Mile Transportation,Mobility,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,Series B,283000000.0,2019-11-15 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Kormangala
Furtados School of Music,furtados school of music,Education,Edtech,Tulangan,IAN Fund and DSG Consumer Partners,,,200000000.0,2019-11-19 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Tulangan
Paytm,paytm,FinTech,Fintech,Noida,Vijay Shekhar Sharma,Funding Round,Series A,1000000000.0,2019-11-25 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Noida
Dunzo,dunzo,Customer Service,Other,Bengaluru,Lightbox,Series D,Late Stage,45000000.0,2019-10-04 00:00:00,2019,4.0,10.0,2017-2019 Rationalization,dataset_1,Bengaluru
Udaan,udaan,B2B,SaaS/B2B,Bengaluru,"Altimeter Capital, DST Global",Series D,Late Stage,585000000.0,2019-10-02 00:00:00,2019,4.0,10.0,2017-2019 Rationalization,dataset_1,Bengaluru
The Man Company,the man company,Consumer Goods,Other,Gurgaon,Ayushmann Khurana,Corporate Round,PE/Debt,,2019-10-21 00:00:00,2019,4.0,10.0,2017-2019 Rationalization,dataset_1,Gurgaon
FPL Technologies,fpl technologies,FinTech,Fintech,Pune,"Matrix Partners India, Sequoia India",Maiden Round,Seed,4500000.0,2019-09-05 00:00:00,2019,3.0,9.0,2017-2019 Rationalization,dataset_1,Pune
